date,close,high,low,open,Volume,daily_return,ma_7,52w_high,52w_low
,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,,,,
2026-01-12,1595.9000244140625,1613.300048828125,1592.5999755859375,1610.0999755859375,6985362,-0.008819297799633493,1617.328578404018,,
2026-01-13,1599.0,1618.0,1586.4000244140625,1618.0,8080618,-0.011742892459826947,1611.4142892020088,,
2026-01-14,1599.800048828125,1617.0,1583.0999755859375,1588.0,7557157,0.007430761226778967,1610.471435546875,,
2026-01-15,1599.800048828125,1599.800048828125,1599.800048828125,1599.800048828125,0,0.0,1608.7000209263392,,
2026-01-16,1689.800048828125,1694.0,1653.4000244140625,1663.699951171875,19335957,0.015687983664281317,1615.9571707589287,,
2026-01-19,1681.199951171875,1685.0,1666.5,1685.0,5104958,-0.0022552218564540058,1625.6571568080358,,
2026-01-20,1658.9000244140625,1680.199951171875,1652.9000244140625,1673.0,6406503,-0.008427959106956068,1632.057163783482,,
2026-01-21,1654.4000244140625,1657.0,1631.199951171875,1651.0,6224582,0.0020593727523092065,1640.414306640625,,
2026-01-22,1663.5,1671.199951171875,1653.800048828125,1666.0,6228892,-0.0015006002400960385,1649.6285923549108,,
2026-01-23,1670.800048828125,1675.699951171875,1662.199951171875,1667.199951171875,5869137,0.0021593676593617286,1659.771449497768,,
2026-01-27,1682.699951171875,1689.4000244140625,1661.0999755859375,1685.800048828125,10673087,-0.0018389474234533428,1671.614292689732,,
2026-01-28,1666.5,1688.800048828125,1650.0,1680.0,8588664,-0.008035714285714285,1668.2857142857142,,
2026-01-29,1659.5,1666.5,1642.0999755859375,1658.0,4749582,0.0009047044632086852,1665.1857212611608,,
2026-01-30,1641.0,1655.0,1618.0999755859375,1655.0,9207926,-0.008459214501510574,1662.6285749162946,,
2026-02-02,1629.4000244140625,1662.0,1618.0,1662.0,6784887,-0.01961490709141847,1659.0571463448662,,
2026-02-03,1656.0,1728.0,1653.0,1727.199951171875,8805868,-0.04122276122319658,1657.9857177734375,,
2026-02-04,1535.800048828125,1584.9000244140625,1510.0999755859375,1574.0,28828622,-0.024269346360784625,1638.7000034877233,,
2026-02-05,1520.199951171875,1551.0,1515.699951171875,1534.0,10628127,-0.008996120487695568,1615.4857177734375,,
2026-02-06,1507.0999755859375,1525.0,1480.0,1522.0999755859375,13900866,-0.009854806018392911,1592.7142857142858,,
2026-02-09,1497.199951171875,1528.0,1493.0,1522.0999755859375,8294615,-0.01635899403025557,1569.528564453125,,
2026-02-10,1497.800048828125,1515.9000244140625,1491.0,1500.0,8657000,-0.0014666341145833334,1549.0714285714287,,
2026-02-11,1471.9000244140625,1505.9000244140625,1469.0,1501.199951171875,7934411,-0.019517671003746188,1526.5714285714287,,
2026-02-12,1386.0,1435.699951171875,1380.5,1428.9000244140625,26048896,-0.0300231112611634,1488.0,,
